accuracy,precision,recall,f1_score,tp,tn,fp,fn,feature_method,model,seed,split_ratio,train_size,test_size,extraction_time,method,feature_size,train_time,def_pred_threshold,pred_time,dataset
0.983338778,0.975043783,0.980193662,0.97761194,2227,3793,57,45,tf-idf,MultinomialNB,27,0.2,24487,6122,0.285961861,tf-idf,21015,0.000239718,0.5,0.000133039,SQLiV3.tsv
0.994446259,0.995132743,0.989876761,0.992497793,2249,3839,11,23,tf-idf,XGBoost,27,0.2,24487,6122,0.285961861,tf-idf,21015,0.050767513,0.5,0.001268192,SQLiV3.tsv
0.81149951,0.669702489,0.970950704,0.792669781,2206,2762,1088,66,tf-idf,SVM_RBF,27,0.2,24487,6122,0.285961861,tf-idf,21015,1.848244953,0.5,0.502437348,SQLiV3.tsv
0.920614178,0.830740741,0.987235915,0.902252615,2243,3393,457,29,tf-idf_ngram,MultinomialNB,27,0.2,24487,6122,2.184445725,tf-idf_ngram,29212,0.000677518,0.5,0.000523195,SQLiV3.tsv
0.99754982,0.999115436,0.994278169,0.996690933,2259,3848,2,13,tf-idf_ngram,XGBoost,27,0.2,24487,6122,2.184445725,tf-idf_ngram,29212,0.368548072,0.5,0.001677296,SQLiV3.tsv
0.997059784,0.99911426,0.992957746,0.99602649,2256,3848,2,16,tf-idf_ngram,SVM_RBF,27,0.2,24487,6122,2.184445725,tf-idf_ngram,29212,5.078611576,0.5,2.164202496,SQLiV3.tsv
0.856746161,0.762119504,0.892605634,0.822217717,2028,3217,633,244,bag_of_characters,MultinomialNB,27,0.2,24487,6122,0.499647164,bag_of_characters,79,0.000251794,0.5,0.000139324,SQLiV3.tsv
0.99754982,0.998674326,0.99471831,0.996692393,2260,3847,3,12,bag_of_characters,XGBoost,27,0.2,24487,6122,0.499647164,bag_of_characters,79,0.032433528,0.5,0.00098304,SQLiV3.tsv
0.990689317,0.992003554,0.982834507,0.987397745,2233,3832,18,39,bag_of_characters,SVM_RBF,27,0.2,24487,6122,0.499647164,bag_of_characters,79,0.22822416,0.5,0.236271111,SQLiV3.tsv
0.997386475,0.999557326,0.993400792,0.99646955,2258,3848,1,15,tf-idf_ngram,XGBoost,42,0.2,24487,6122,2.203481307,tf-idf_ngram,29216,0.401871071,0.5,0.001968992,SQLiV3.tsv
